slug,lang,length,issues,title,meta
"categoria/entrenamiento/index",es,0,MISSING|DUPLICATE,"Redirigiendo a Entrenamiento",""
"categoria/index",es,0,MISSING|DUPLICATE,"",""
"motivacion-para-correr",es,0,MISSING|DUPLICATE,"Motivaci&oacute;n para Correr 2026: 10 Trucos Efectivos | CorrerJuntos",""
"no-tengo-con-quien-correr",es,0,MISSING|DUPLICATE,"No Tengo con Qui&eacute;n Correr: 5 Soluciones 2026 | CorrerJuntos",""
"running/mejores-zapatillas-empezar-correr-2026/index",es,0,MISSING|DUPLICATE,"Redirigiendo... | CorrerJuntos",""
"en/categoria/index",en,0,MISSING|DUPLICATE,"",""
"en/running/best-running-shoes-to-start-running-2026/index",en,0,MISSING|DUPLICATE,"Redirecting... | CorrerJuntos",""
"en/best-budget-running-shoes",en,3,TOO_SHORT,"Best Budget Running Shoes 2026 — Top Picks Under $100 | CorrerJuntos","Don"
"en/transition-running-to-triathlon",en,222,TOO_LONG,"How to Transition from Running to Triathlon: Guide for Runners 2026 | CorrerJuntos","Complete guide to transitioning from running to triathlon: formats, swimming, cycling, T1/T2 transitions, 16-week training plan, gear checklist and common mistakes. Everything runners need for their first sprint triathlon."
"en/runners-knee",en,11,TOO_SHORT,"Runner's Knee: Causes, Treatment &amp; Prevention 2026 | CorrerJuntos","Stop runner"
"en/best-womens-running-shoes",en,12,TOO_SHORT,"10 Best Women's Running Shoes 2026 Ranked | CorrerJuntos","Top 10 women"
"como-pasar-de-running-a-triatlon",es,213,TOO_LONG,"Cómo Pasar de Running a Triatlón: Guía de Transición para Runners 2026 | CorrerJuntos","Guía completa para pasar de running a triatlón: formatos, natación, ciclismo, transiciones T1/T2, plan de 16 semanas, material necesario y errores comunes. Todo para runners que quieren debutar en triatlón sprint."
"primera-carrera-10k-consejos",es,212,TOO_LONG,"Tu Primera Carrera de 10K: 15 Consejos para no Arrepentirte el D&iacute;a D | CorrerJuntos","Consejos pr&aacute;cticos para tu primera carrera de 10K: qu&eacute; llevar, c&oacute;mo salir, d&oacute;nde ir al ba&ntilde;o, c&oacute;mo colocarte en los cajones y qu&eacute; hacer si el nerviosismo te supera."
"sujetador-deportivo-running",es,211,TOO_LONG,"Los 10 Mejores Sujetadores Deportivos para Running 2026 (Guía Completa) | CorrerJuntos","Comparativa de 10 sujetadores deportivos para correr: Shock Absorber, Triumph, Under Armour, Nike, Reebok, Adidas, Amazon Essentials y más. Guía de tallas, niveles de impacto y cómo elegir según pecho y volumen."
"maraton-valencia-guia",es,210,TOO_LONG,"Marat&oacute;n Valencia 2026: Inscripci&oacute;n y Recorrido | CorrerJuntos","Gu&iacute;a Marat&oacute;n Valencia 2026: fecha, inscripci&oacute;n, recorrido plano, r&eacute;cords y preparaci&oacute;n. Descubre por qu&eacute; es el marat&oacute;n m&aacute;s r&aacute;pido de Espa&ntilde;a."
"que-comer-antes-media-maraton",es,205,TOO_LONG,"Qu&eacute; Comer Antes de una Media Marat&oacute;n: La Noche Antes y el D&iacute;a de la Carrera | CorrerJuntos","La gu&iacute;a definitiva de nutrici&oacute;n pre-carrera para media marat&oacute;n. Qu&eacute; comer la noche antes, el desayuno el d&iacute;a D seg&uacute;n la hora de salida y qu&eacute; evitar siempre."
"en/best-running-sports-bras",en,203,TOO_LONG,"The 10 Best Running Sports Bras 2026 (Complete Buying Guide) | CorrerJuntos","Comparison of 10 running sports bras: Shock Absorber, Triumph, Under Armour, Nike, Reebok, Adidas, Amazon Essentials and more. Size guide, impact levels and how to choose by cup size and training volume."
"cursa-de-la-merce-2026",es,172,TOO_LONG|GENERIC,"Cursa de la Mercè 2026 Barcelona: Fecha, Recorrido e Inscripción | CorrerJuntos","Guía completa de la Cursa de la Mercè 2026 en Barcelona. Fecha, recorrido, inscripción, cómo prepararte y todo lo que necesitas saber sobre la 10K más festiva de Catalunya."
"en/madrid-marathon-guide",en,29,TOO_SHORT,"Madrid Marathon 2026: Complete Guide — Registration, Course & Tips | CorrerJuntos","Everything about the EDP Rock"
"correr-postparto-vuelta-al-running",es,197,TOO_LONG,"Volver a Correr Después del Parto: Plan Seguro de 8 Semanas (Guía 2026) | CorrerJuntos","Plan completo para volver a correr tras el parto: cuándo es seguro empezar, test de diastasis de rectos, plan semana a semana, equipamiento esencial (faja, sujetador lactancia) y señales de alarma."
"correr-con-alergia-primaveral",es,196,TOO_LONG,"Correr con Alergia Primaveral: Guía Completa para Runners (2026) | CorrerJuntos","Guía completa para correr con alergia al polen en primavera. Horarios óptimos según AEMET, protocolo pre y post-entreno, mascarilla, gafas, antihistamínicos compatibles con deporte y cuándo parar."
"hidratacion-media-maraton",es,196,TOO_LONG,"Hidrataci&oacute;n en Media Marat&oacute;n: Cu&aacute;nto Beber y Cu&aacute;ndo para No Perder Tiempo ni Rendimiento | CorrerJuntos","Gu&iacute;a completa de hidrataci&oacute;n para media marat&oacute;n: cu&aacute;nto beber antes, durante y despu&eacute;s de la carrera, si debes caminar en los avituallamientos y errores comunes."
"en/best-running-apps",en,36,TOO_SHORT,"Best Running Apps in 2026 — Tested by Real Runners | CorrerJuntos","We tested 12 running apps so you don"
"ropa-media-maraton-que-llevar",es,192,TOO_LONG,"Qu&eacute; Ropa Llevar en una Media Marat&oacute;n: Equipaci&oacute;n Completa Seg&uacute;n el Tiempo | CorrerJuntos","Ropa ideal para correr una media marat&oacute;n: camiseta t&eacute;cnica, mallas, calcetines de compresi&oacute;n, c&oacute;mo vestirse seg&uacute;n temperatura y los errores que debes evitar."
"en/runner-diet-what-to-eat",en,38,TOO_SHORT,"Runner's Diet: What to Eat to Run Faster 2026 | CorrerJuntos","Fuel your runs with the perfect runner"
"mejores-zapatillas-trail-running",es,191,TOO_LONG,"10 Mejores Zapatillas Trail Running 2026: An&aacute;lisis Profesional | CorrerJuntos","Las 10 mejores zapatillas de trail running 2026 analizadas en profundidad. Hoka Speedgoat 6, Saucony Peregrine 16, Brooks Cascadia 19 y m&aacute;s. Con puntuaciones, specs y enlaces directos."
"equipamiento/mejores-bandas-frecuencia-cardiaca-running/index",es,188,TOO_LONG,"Las mejores bandas de pecho y brazaletes para medir la frecuencia cardíaca al correr (2026) | CorrerJuntos","Comparativa 2026 con las mejores bandas de pecho y brazaletes para medir la frecuencia cardíaca al correr. Entrena por zonas, mejora rendimiento y controla la intensidad con más precisión."
"sobreentrenamiento-running-sintomas",es,188,TOO_LONG,"Sobreentrenamiento Running: 12 S&iacute;ntomas + Plan de Recuperaci&oacute;n 2026 | CorrerJuntos","Descubre los 12 s&iacute;ntomas del sobreentrenamiento en running, c&oacute;mo diagnosticarlo con HRV y FC en reposo, y el plan de recuperaci&oacute;n completo para volver a correr seguro."
"como-preparar-primera-media-maraton",es,186,TOO_LONG,"C&oacute;mo Preparar tu Primera Media Marat&oacute;n 2026: Gu&iacute;a Completa | CorrerJuntos","Gu&iacute;a completa para preparar tu primera media marat&oacute;n en 2026. Plan de entrenamiento 12-16 semanas, nutrici&oacute;n, equipamiento, d&iacute;a de carrera y errores a evitar."
"empezar-a-correr-despues-de-los-60",es,186,TOO_LONG,"Empezar a Correr con 60 A&ntilde;os: Gu&iacute;a 2026 | CorrerJuntos","Gu&iacute;a completa para empezar a correr con 60 a&ntilde;os. Consejos reales de un corredor con 20 a&ntilde;os de experiencia. Plan de 8 semanas incluido. Descarga CorrerJuntos gratis."
"grupos-de-running-guia-completa",es,186,TOO_LONG,"Grupos de Running: Gu&iacute;a Completa para Encontrar tu Grupo Ideal en 2026 | CorrerJuntos","Todo sobre grupos de running: qu&eacute; tipos hay, c&oacute;mo elegir el mejor para ti, d&oacute;nde encontrarlos en tu ciudad y c&oacute;mo crear el tuyo. Gu&iacute;a actualizada 2026."
"vo2-max-running-como-mejorar",es,186,TOO_LONG,"VO2 Max Running: Qu&eacute; Es y C&oacute;mo Mejorar 2026 | CorrerJuntos","Descubre qu&eacute; es el VO2 Max, c&oacute;mo medirlo y c&oacute;mo mejorarlo con entrenamientos espec&iacute;ficos. Gu&iacute;a completa de un runner con 20 a&ntilde;os de experiencia."
"maraton-barcelona-guia",es,185,TOO_LONG,"Marat&oacute;n Barcelona 2026: Inscripci&oacute;n y Recorrido | CorrerJuntos","Gu&iacute;a Marat&oacute;n Barcelona 2026: fecha, inscripci&oacute;n, recorrido por Eixample y Montju&iuml;c, r&eacute;cords y consejos. Prep&aacute;rate para correrla con &eacute;xito."
"carreras-nocturnas-espana",es,182,TOO_LONG,"Carreras Nocturnas en España 2026: Calendario, Consejos y Mejores Eventos | CorrerJuntos","Calendario completo de carreras nocturnas en España 2026. Descubre los mejores eventos nocturnos, equipamiento esencial, consejos de seguridad y cómo prepararte para correr de noche."
"entrenamiento-series-fartlek",es,181,TOO_LONG,"Series y Fartlek Running: Gu&iacute;a Intervalos 2026 | CorrerJuntos","Series, fartlek y tempo runs: gu&iacute;a completa de intervalos para runners. Sesiones tipo, progresi&oacute;n y c&oacute;mo integrarlos en tu plan. Corre m&aacute;s r&aacute;pido."
"grupos-running-malaga",es,180,TOO_LONG,"Grupos de Running en M&aacute;laga 2026: Clubes y Quedadas | CorrerJuntos","Los mejores grupos de running en M&aacute;laga 2026. Clubes, quedadas gratuitas y rutas por el paseo mar&iacute;timo, Montes de M&aacute;laga y el centro hist&oacute;rico. Corre..."
"material-trail-running",es,179,TOO_LONG,"Material Trail Running 2026: Gu&iacute;a de Equipamiento | CorrerJuntos","Equipamiento esencial para trail running: zapatillas, mochilas, bastones, GPS y nutrici&oacute;n. Presupuesto por niveles desde 200&euro;. Prep&aacute;rate para la monta&ntilde;a."
"mejores-zapatillas-on-running",es,179,TOO_LONG,"10 Mejores Zapatillas On Running 2026 | CorrerJuntos","An&aacute;lisis de las 10 mejores zapatillas On Running de 2026. Comparativa con precios, caracter&iacute;sticas y opini&oacute;n de un corredor con 20 a&ntilde;os de experiencia."
"encontrar-runners-malaga",es,178,TOO_LONG,"Runners M&aacute;laga: Grupos y Rutas Running 2026 | CorrerJuntos","Encuentra runners en M&aacute;laga: grupos de running, rutas por el Paseo Mar&iacute;timo, Montes de M&aacute;laga y parkrun. &Uacute;nete a la comunidad runner malague&ntilde;a."
"zapatillas/mejores-zapatillas-empezar-correr-2026/index",es,177,TOO_LONG,"Las 10 mejores zapatillas para empezar a correr en 2026 | CorrerJuntos","Descubre las 10 mejores zapatillas para empezar a correr en 2026. Comparativa para runners principiantes con amortiguación, estabilidad, drop y recomendaciones claras de compra."
"ansiedad-pre-carrera",es,175,TOO_LONG,"Ansiedad Pre-Carrera: 8 T&eacute;cnicas que Funcionan | CorrerJuntos","Controla los nervios antes de competir con 8 t&eacute;cnicas probadas por psic&oacute;logos deportivos. Rinde al m&aacute;ximo el d&iacute;a de la carrera. Desc&uacute;brelas."
"asics-novablast-5-opinion",es,175,TOO_LONG,"ASICS Novablast 5 Opini&oacute;n 2026: An&aacute;lisis Completo tras 400 km | CorrerJuntos","ASICS Novablast 5 review tras 400 km de test: an&aacute;lisis de mediasuela FF BLAST MAX, suela AHAR+, upper, comparativa vs Clifton 10 y Pegasus 41. Puntuaci&oacute;n 8.7/10."
"nutricion-dia-de-carrera",es,175,TOO_LONG,"Nutrici&oacute;n D&iacute;a de Carrera 2026: Qu&eacute; Comer | CorrerJuntos","Qu&eacute; comer antes, durante y despu&eacute;s de una carrera: desayuno pre-carrera, geles y recuperaci&oacute;n para 5K, 10K y media marat&oacute;n. Rinde al m&aacute;ximo."
"plan-10k-sub-60-minutos",es,175,TOO_LONG,"Plan 10K Sub 60 Minutos en 8 Semanas: Gu&iacute;a Completa | CorrerJuntos","Plan de entrenamiento de 8 semanas para bajar de 60 minutos en 10K. Tabla semanal completa, ritmos por sesi&oacute;n, errores a evitar y estrategia de carrera el d&iacute;a D."
"grupos-running-bilbao",es,174,TOO_LONG,"Grupos de Running en Bilbao 2026: Clubes, Quedadas y Rutas | CorrerJuntos","Los mejores grupos de running en Bilbao 2026. Clubes, quedadas gratuitas y rutas por la R&iacute;a, Artxanda, Do&ntilde;a Casilda y Getxo. Corre acompa&ntilde;ado en Euskadi."
"nutricion-recuperacion-post-entreno",es,174,TOO_LONG,"Nutrici&oacute;n Post-Entreno Running 2026: Qu&eacute; Comer | CorrerJuntos","Qu&eacute; comer despu&eacute;s de correr: ventana de recuperaci&oacute;n, ratios de macros y recetas r&aacute;pidas para runners. Recup&eacute;rate m&aacute;s r&aacute;pido."
